y,x
25.1145,121.5155
25.1151,121.5150
24.7021,121.7377
22.0037,121.5834
21.9152,120.8451
22.0166,121.5638
21.9295,120.8270
22.0815,121.5454
21.9073,120.8508
21.9593,120.8397
22.0146,121.5961
21.9190,120.8362
22.0238,121.5949
21.9900,120.8488
21.9754,120.7344
22.0829,121.5661
25.0277,121.5285
22.0543,121.5621
22.0274,121.5824
21.9657,120.7404
22.0281,121.5784
22.0090,120.8060
22.0093,121.5720
22.0729,121.5103
21.9558,120.7337
22.0270,121.5537
21.9822,120.7338
22.0100,121.5762
21.9146,120.8544
21.9434,120.8374
23.4654,120.4824
22.0086,120.7867
24.0000,120.5960
21.9545,120.7219
22.0131,121.5707
21.9651,120.7192
22.0254,120.8011
25.1446,121.7799
22.0292,121.5551
23.4614,120.5018
23.4562,120.5228
22.0764,121.5095
22.0338,121.5652
22.9580,121.1595
25.0489,121.7874
23.4594,120.5352
24.8342,121.7470
22.0810,121.5047
22.0347,121.5585
22.0146,121.5714
22.0351,121.5611
23.8357,120.7478
23.0495,121.1646
23.8278,120.7747
23.4602,120.5529
23.8307,120.7605
23.5893,121.3545
23.8251,120.7669
23.4380,120.6065
23.8284,120.8104
22.0367,121.5585
22.0372,121.5580
23.8276,120.8021
23.4297,120.6119
23.8251,120.8224
23.4590,120.5925
23.4261,120.6125
23.8268,120.8336
23.4219,120.6156
23.4371,120.6169
23.4638,120.6019
23.4209,120.6159
23.1815,121.2949
23.4200,120.6117
23.4744,120.6440
23.4759,120.6426
23.4614,120.6031
23.4195,120.6121
23.4760,120.6428
23.4804,120.6522
23.4728,120.6358
23.4395,120.6268
24.0914,121.0335
23.4667,120.6133
23.4704,120.6508
24.0911,121.0352
23.4671,120.6591
24.0898,121.0327
23.9191,120.8831
23.9190,120.8829
23.4762,120.6299
23.9188,120.8813
23.9190,120.8823
23.9247,120.8855
23.9257,120.8877
23.4781,120.6219
23.9271,120.8873
23.9185,120.8800
23.9283,120.8885
24.0887,121.0327
23.7294,120.7947
23.9287,120.8922
23.9298,120.8942
24.0869,121.0322
23.9272,120.8911
23.9282,120.8916
23.9312,120.8941
23.7302,120.7922
23.9318,120.8966
23.9328,120.8929
23.7287,120.7943
23.9305,120.8912
23.7287,120.7931
23.9189,120.8806
23.4724,120.6654
23.7293,120.7924
23.8522,120.8980
23.7284,120.7911
23.7279,120.7933
23.7257,120.7935
23.7253,120.7961
23.7299,120.7871
23.4416,120.6487
23.7244,120.7957
23.4822,120.6768
23.4834,120.6857
23.4418,120.6590
23.4746,120.6826
23.4452,120.6675
23.4431,120.6680
23.4727,120.6924
23.4727,120.6924
23.4715,120.6925
23.6718,120.7984
23.6725,120.7992
23.6733,120.8003
23.6731,120.8020
23.4458,120.6738
23.4665,120.6916
24.0666,121.0167
23.6709,120.8027
23.6703,120.8031
23.4810,120.6963
23.6676,120.8033
23.4985,120.7009
23.6576,120.8009
23.5055,120.6940
23.6649,120.8055
23.5005,120.7120
23.6598,120.8051
